country,track_name,total_streams
Argentina,Mamichula - con Nicki Nicole,96914275
Australia,Levitating (feat. DaBaby),100140676
Austria,Heat Waves,10496262
Belarus,Днями-ночами,1084026
Belgium,Bande organisée,52314300
Bolivia,DÁKITI,12745952
Brazil,Poesia Acústica #9: Melhor Forma,492628900
Bulgaria,"Lemonade (feat. Gunna, Don Toliver & NAV)",2991552
Canada,Levitating (feat. DaBaby),102791866
Chile,DÁKITI,134132050
Colombia,DÁKITI,66608574
Costa Rica,DÁKITI,18857606
Cyprus,XILIOMETRA,1157392
Czech Republic,Rolls,10713486
Denmark,Blå Himmel (feat. Hans Philip),22732576
Dominican Republic,DÁKITI,11518390
Ecuador,DÁKITI,29678356
Egypt,Denamet,4750110
El Salvador,DÁKITI,14805466
Estonia,Paraadna,2472708
Finland,Penelope (feat. Clever),12236706
France,Bande organisée,559880334
Germany,Heat Waves,120474836
Global,"Lemonade (feat. Gunna, Don Toliver & NAV)",3409442960
Greece,XILIOMETRA,25756240
Guatemala,DÁKITI,27872756
Honduras,DÁKITI,11093806
Hong Kong,一人之境 in C major,7621723
Hungary,RÉT,11137050
Iceland,Levitating (feat. DaBaby),1460876
India,Excuses,426838890
Indonesia,if u could see me cryin' in my room,110121850
Ireland,Levitating (feat. DaBaby),20663096
Israel,ואז את תראי,12383224
Italy,ALTALENE (feat. Mara Sattei & Coez),89980510
Japan,Dynamite,107339481
Kazakhstan,Kõke,795836
Korea,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),4437955
Latvia,"Lemonade (feat. Gunna, Don Toliver & NAV)",2262840
Lithuania,Levitating (feat. DaBaby),2813794
Luxembourg,Bande organisée,3068964
Malaysia,Levitating (feat. DaBaby),18544614
Mexico,DÁKITI,429002202
Morocco,love nwantiti (feat. ElGrande Toto) - North African Remix,13712980
Netherlands,Leuk,63071456
New Zealand,Levitating (feat. DaBaby),17532584
Nicaragua,DÁKITI,6146582
Nigeria,Infinity (feat. Omah Lay),1009852
Norway,Barock 2021 (Nesbrurussen),60112760
Pakistan,Excuses,2925948
Panama,DÁKITI,10489882
Paraguay,No Te Enamores - Remix,26792720
Peru,La Curiosidad,58930686
Philippines,Levitating (feat. DaBaby),83295968
Poland,A nie pamiętasz jak?,129992488
Portugal,Liberdade (Quando o Grave Bate Forte),20117067
Romania,"Lemonade (feat. Gunna, Don Toliver & NAV)",6034916
Saudi Arabia,Levitating (feat. DaBaby),5990838
Singapore,Levitating (feat. DaBaby),15803052
Slovakia,Levitating (feat. DaBaby),4237320
South Africa,Umsebenzi Wethu,18325656
Spain,La Historia,176369408
Sweden,Ge upp igen,31057406
Switzerland,Bande organisée,14872383
Taiwan,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),17987390
Thailand,จำเลยรัก - Defendant Of Love,30662728
Turkey,Dua,146134884
Ukraine,Baby mama,7061846
United Arab Emirates,Levitating (feat. DaBaby),4953130
United Kingdom,Levitating (feat. DaBaby),125623108
United States,Levitating (feat. DaBaby),618539622
Uruguay,Bandido,6838708
Venezuela,DÁKITI,1147292
Vietnam,Cứ Chill Thôi,26969037
